department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
HR,4,Bachelors,f,other,1,31,3.0,5,0,0,51
Sales & Marketing,13,Bachelors,m,other,1,31,1.0,4,0,0,47
Procurement,2,Bachelors,f,other,3,31,2.0,9,0,0,65
Finance,29,Bachelors,m,sourcing,1,30,4.0,7,0,0,61
Procurement,7,Bachelors,m,sourcing,1,36,3.0,2,0,0,68
Finance,2,Bachelors,m,other,1,33,5.0,3,1,0,57
Analytics,22,Bachelors,m,sourcing,2,36,3.0,3,0,0,85
Technology,7,Masters & above,m,other,1,51,4.0,11,0,0,75
Technology,22,Bachelors,m,sourcing,1,29,5.0,2,1,0,76
Sales & Marketing,16,Bachelors,m,sourcing,2,40,5.0,12,1,0,50
Sales & Marketing,17,Masters & above,m,sourcing,1,40,3.0,10,0,0,46
Sales & Marketing,4,Masters & above,f,other,1,34,3.0,4,0,0,52
Analytics,24,Bachelors,m,other,1,37,3.0,10,0,0,82
Operations,11,Bachelors,m,sourcing,1,30,5.0,6,1,0,58
Sales & Marketing,7,Bachelors,m,sourcing,1,31,4.0,4,1,0,47
Operations,27,Bachelors,f,sourcing,1,26,5.0,3,0,0,56
Sales & Marketing,17,Bachelors,m,sourcing,1,40,5.0,6,1,0,50
Procurement,7,Bachelors,f,other,1,49,3.0,7,1,0,64
Procurement,27,Bachelors,m,other,1,27,2.0,5,0,0,65
Sales & Marketing,9,Masters & above,m,sourcing,1,37,5.0,3,0,0,47
Technology,29,Masters & above,m,sourcing,1,30,1.0,3,0,0,83
Procurement,4,Masters & above,m,other,1,41,3.0,4,0,0,76
Finance,20,Bachelors,f,other,1,29,4.0,6,1,0,58
Operations,20,Bachelors,m,other,1,33,3.0,7,1,1,62
Sales & Marketing,17,Masters & above,m,sourcing,1,34,4.0,6,1,0,50
Analytics,13,Bachelors,m,sourcing,1,34,3.0,3,1,0,87
Operations,22,Bachelors,m,other,1,52,1.0,10,0,0,61
Sales & Marketing,34,Bachelors,m,sourcing,1,30,2.0,3,0,0,50
Analytics,2,Masters & above,m,sourcing,2,34,4.0,7,0,0,87
Sales & Marketing,2,Bachelors,m,sourcing,2,43,1.0,14,0,0,52
Sales & Marketing,2,Bachelors,f,sourcing,1,35,3.0,3,1,0,52
Technology,22,Masters & above,m,other,4,40,3.0,12,0,0,77
Technology,23,Bachelors,m,sourcing,2,33,4.0,9,0,0,83
Sales & Marketing,8,Masters & above,m,other,1,30,3.0,2,1,0,55
Sales & Marketing,14,Bachelors,f,sourcing,2,42,1.0,3,1,0,46
Sales & Marketing,22,Bachelors,m,sourcing,3,29,1.0,3,0,0,51
Analytics,26,Bachelors,m,sourcing,1,26,5.0,4,1,0,90
Sales & Marketing,31,Bachelors,m,other,1,27,2.0,3,0,0,52
Operations,13,Bachelors,m,other,1,34,5.0,5,1,0,66
Sales & Marketing,31,Bachelors,m,sourcing,1,26,4.0,5,0,0,45
Technology,2,Bachelors,f,other,1,52,5.0,18,0,0,80
Sales & Marketing,7,Bachelors,m,other,1,26,5.0,2,1,0,54
Analytics,34,Bachelors,m,sourcing,3,27,3.0,2,0,0,83
Operations,23,Bachelors,m,other,1,33,4.0,8,1,0,59
Technology,2,Masters & above,f,other,1,57,1.0,26,0,0,76
Sales & Marketing,2,Bachelors,m,other,2,46,1.0,7,0,0,49
Sales & Marketing,19,Bachelors,m,sourcing,1,30,2.0,3,0,0,50
Technology,7,Masters & above,m,sourcing,2,40,3.0,6,0,0,81
Technology,23,Bachelors,m,other,2,32,3.0,6,0,0,79
Finance,22,Masters & above,f,sourcing,1,36,3.0,2,1,0,61
Legal,2,Bachelors,m,other,1,28,2.0,2,0,0,62
Operations,22,Bachelors,f,sourcing,1,29,5.0,4,1,0,56
Sales & Marketing,2,Masters & above,m,sourcing,1,38,4.0,4,0,0,49
Technology,4,Bachelors,m,other,1,31,2.0,4,1,0,78
Sales & Marketing,22,Bachelors,m,other,1,29,1.0,4,0,0,46
Operations,26,Bachelors,m,sourcing,1,41,4.0,6,1,0,60
Procurement,2,Bachelors,m,other,1,29,5.0,2,1,0,74
Sales & Marketing,28,Bachelors,f,other,1,29,2.0,5,0,0,51
Analytics,29,Bachelors,m,other,2,28,5.0,4,1,0,84
Procurement,22,Bachelors,f,sourcing,1,31,1.0,6,0,0,64
Technology,4,Masters & above,m,sourcing,1,36,3.0,4,0,0,76
Operations,2,Bachelors,m,other,3,26,3.0,4,1,0,57
Technology,15,Bachelors,m,other,1,29,3.0,2,0,0,84
Analytics,7,Bachelors,m,sourcing,1,32,4.0,6,0,0,85
Sales & Marketing,2,Bachelors,f,other,1,40,1.0,10,0,0,50
Analytics,22,Bachelors,m,sourcing,2,38,4.0,13,0,0,87
Analytics,4,Bachelors,m,other,1,42,5.0,11,1,0,80
Procurement,29,Masters & above,f,other,1,33,3.0,6,0,0,68
Analytics,2,Bachelors,m,other,1,31,5.0,5,1,0,92
Operations,3,Masters & above,f,sourcing,1,35,3.0,4,0,0,58
HR,2,Masters & above,f,sourcing,1,58,5.0,6,1,0,51
Sales & Marketing,28,Bachelors,f,sourcing,1,26,2.0,4,0,0,48
HR,29,Bachelors,f,sourcing,1,33,3.0,8,1,0,49
Technology,7,Bachelors,m,sourcing,1,30,3.0,3,1,0,80
Technology,13,Masters & above,f,sourcing,1,43,3.0,12,0,0,79
HR,17,Bachelors,f,sourcing,1,31,4.0,7,0,0,48
Analytics,29,Bachelors,m,sourcing,1,32,3.0,5,1,0,86
Technology,2,Masters & above,f,sourcing,2,57,2.0,7,0,0,83
Operations,2,Bachelors,f,other,1,54,4.0,22,0,0,57
